
; Gameboy Instruction Table
; By David Phillips

; "" -- no argument
; *  -- 8 or 16 bit value
; !  -- bit value (multiplied by 8)
; @  -- relative value (determined by PC)

;Inst Args Opcode Bytes Time

;LDI  A,[DE]  131A 2   4        ;  LD A,(DE)|INC DE 
;LDI  (DE),A  1312 2   4        ;  LD (DE),A|INC DE 
;LDI  [DE],A  1312 2   4        ;  LD (DE),A|INC DE 
LDI  A,(HL)  2A   1   2        ;  LD A,(HL)|INC HL 
LDI  A,[HL]  2A   1   2        ;  LD A,(HL)|INC HL 
LDI  (HL),A  22   1   2        ;  LD (HL),A|INC HL 
LDI  [HL],A  22   1   2        ;  LD (HL),A|INC HL 

NEG  ""      3C2F 2   2        ;  INC A|CPL

NOP  ""      00   1   1

OR   (HL)    B6   1   2
OR   [HL]    B6   1   2
OR   A       B7   1   1
OR   B       B0   1   1
OR   C       B1   1   1
OR   D       B2   1   1
OR   E       B3   1   1
OR   H       B4   1   1
OR   L       B5   1   1
OR   *       F6   2   2

OUT  (*),A   E0   2   1        ; LD ($FF00+*),A
OUT  [*],A   E0   2   1	       ; LD ($FF00+*),A

POP  AF      F1   1   3
;POP  ALL F1C1D1E1 4   12       ; POP HL|POP DE|POP BC|POP AF
POP  BC      C1   1   3
POP  DE      D1   1   3
POP  HL      E1   1   3
POP  NULL    02E8 2   4        ; ADD SP,2

PUSH AF      F5   1   4
;PUSH ALL E5D5C5F5 4   16       ; PUSH AF|PUSH BC|PUSH DE|PUSH HL
PUSH BC      C5   1   4
PUSH DE      D5   1   4
PUSH HL      E5   1   4

RES  !,(HL)  86CB 2   3
RES  !,[HL]  86CB 2   3
RES  !,A     87CB 2   2
RES  !,B     80CB 2   2
RES  !,C     81CB 2   2
RES  !,D     82CB 2   2
RES  !,E     83CB 2   2
RES  !,H     84CB 2   2
RES  !,L     85CB 2   2

RET  ""      C9   1   4
RET  C       D8   1   2
RET  NC      D0   1   2
RET  NZ      C0   1   2
RET  Z       C8   1   2
RETI ""      D9   1   4

RL   (HL)    16CB 2   4
RL   [HL]    16CB 2   4
RL   A       17CB 2   2
RL   B       10CB 2   2
RL   C       11CB 2   2
RL   D       12CB 2   2
RL   E       13CB 2   2
RL   H       14CB 2   2
RL   L       15CB 2   2
RLA  ""      17   1   1

RLC  (HL)    06CB 2   4
RLC  [HL]    06CB 2   4
RLC  A       07CB 2   2
RLC  B       00CB 2   2
RLC  C       01CB 2   2
RLC  D       02CB 2   2
RLC  E       03CB 2   2
RLC  H       04CB 2   2
RLC  L       05CB 2   2
RLCA ""      07   1   1

RR   (HL)    1ECB 2   4
RR   [HL]    1ECB 2   4
RR   A       1FCB 2   2
RR   B       18CB 2   2
RR   C       19CB 2   2
RR   D       1ACB 2   2
RR   E       1BCB 2   2
RR   H       1CCB 2   2
RR   L       1DCB 2   2
RRA  ""      1F   1   1

RRC  (HL)    0ECB 2   4
RRC  [HL]    0ECB 2   4
RRC  A       0FCB 2   2
RRC  B       08CB 2   2
RRC  C       09CB 2   2
RRC  D       0ACB 2   2
RRC  E       0BCB 2   2
RRC  H       0CCB 2   2
RRC  L       0DCB 2   2
RRCA ""      0F   1   1

RST  00H     C7   1   4
RST  08H     CF   1   4
RST  10H     D7   1   4
RST  18H     DF   1   4
RST  20H     E7   1   4
RST  28H     EF   1   4
RST  30H     F7   1   4
RST  38H     FF   1   4
RST  $10     D7   1   4
RST  $18     DF   1   4
RST  $20     E7   1   4
RST  $28     EF   1   4
RST  $30     F7   1   4
RST  $38     FF   1   4

SBC  A,(HL)  9E   1   2
SBC  A,[HL]  9E   1   2
SBC  A,A     9F   1   1
SBC  A,B     98   1   1
SBC  A,C     99   1   1
SBC  A,D     9A   1   1
SBC  A,E     9B   1   1
SBC  A,H     9C   1   1
SBC  A,L     9D   1   1
SBC  A,*     DE   2   2

SCF  ""      37   1   1

SET  !,(HL)  C6CB 2   3
SET  !,[HL]  C6CB 2   3
SET  !,A     C7CB 2   2
SET  !,B     C0CB 2   2
SET  !,C     C1CB 2   2
SET  !,D     C2CB 2   2
SET  !,E     C3CB 2   2
SET  !,H     C4CB 2   2
SET  !,L     C5CB 2   2

SLA  (HL)    26CB 2   4
SLA  [HL]    26CB 2   4
SLA  A       27CB 2   2
SLA  B       20CB 2   2
SLA  C       21CB 2   2
SLA  D       22CB 2   2
SLA  E       23CB 2   2
SLA  H       24CB 2   2
SLA  L       25CB 2   2

SRA  (HL)    2ECB 2   4
SRA  [HL]    2ECB 2   4
SRA  A       2FCB 2   2
SRA  B       28CB 2   2
SRA  C       29CB 2   2
SRA  D       2ACB 2   2
SRA  E       2BCB 2   2
SRA  H       2CCB 2   2
SRA  L       2DCB 2   2

SRL  (HL)    3ECB 2   4
SRL  [HL]    3ECB 2   4
SRL  A       3FCB 2   2
SRL  B       38CB 2   2
SRL  C       39CB 2   2
SRL  D       3ACB 2   2
SRL  E       3BCB 2   2
SRL  H       3CCB 2   2
SRL  L       3DCB 2   2

STOP ""      0010 2   1

SUB  A,(HL)  96   1   2
SUB  A,[HL]  96   1   2
SUB  A,A     97   1   1
SUB  A,B     90   1   1
SUB  A,C     91   1   1
SUB  A,D     92   1   1
SUB  A,E     93   1   1
SUB  A,H     94   1   1
SUB  A,L     95   1   1
SUB  A,*     D6   2   2
SUB  (HL)    96   1   2
SUB  [HL]    96   1   2
SUB  A       97   1   1
SUB  B       90   1   1
SUB  C       91   1   1
SUB  D       92   1   1
SUB  E       93   1   1
SUB  H       94   1   1
SUB  L       95   1   1
SUB  *       D6   2   2

SWAP (HL)    36CB 2   4
SWAP [HL]    36CB 2   4
SWAP A       37CB 2   2
SWAP B       30CB 2   2
SWAP C       31CB 2   2
SWAP D       32CB 2   2
SWAP E       33CB 2   2
SWAP H       34CB 2   2
SWAP L       35CB 2   2

XOR  (HL)    AE   1   2
XOR  [HL]    AE   1   2
XOR  A       AF   1   1
XOR  B       A8   1   1
XOR  C       A9   1   1
XOR  D       AA   1   1
XOR  E       AB   1   1
XOR  H       AC   1   1
XOR  L       AD   1   1
XOR  *       EE   2   2

DUMP ""      D3   1   0
DMPB *       DB   3   0
DMPW *       DD   3   0
BRK  ""      E3   1   0



